drug1,pubchem_id1,drug2,pubchem_id2,cell,label
CHEMBL17639,1546,"Azacytidine, 5-",1805,BT549,1
CHEMBL17639,1546,amifostine,2141,BT549,0
CHEMBL17639,1546,anastrozole,2187,BT549,0
CHEMBL17639,1546,busulfan,2478,BT549,0
CHEMBL17639,1546,carmustine,2578,BT549,0
CHEMBL17639,1546,cyclophosphamide,2907,BT549,0
CHEMBL17639,1546,Fludarabine Base,3367,BT549,0
CHEMBL17639,1546,hydroxyurea,3657,BT549,0
CHEMBL17639,1546,NSC256439,3685,BT549,0
CHEMBL17639,1546,ifosfamide,3690,BT549,0
CHEMBL17639,1546,methoxsalen,4114,BT549,0
CHEMBL17639,1546,mitotane,4211,BT549,0
CHEMBL17639,1546,pipobroman,4842,BT549,0
CHEMBL17639,1546,Imatinib,5291,BT549,0
CHEMBL17639,1546,Vorinostat,5311,BT549,0
CHEMBL17639,1546,temozolomide,5394,BT549,0
CHEMBL17639,1546,thalidomide,5426,BT549,0
CHEMBL17639,1546,mitomycin C,5746,BT549,1
CHEMBL17639,1546,Triethylenemelamine,5799,BT549,0
CHEMBL17639,1546,55-86-7,5935,BT549,0
CHEMBL17639,1546,Quinacrine hydrochloride,6239,BT549,0
CHEMBL17639,1546,Procarbazine hydrochloride,9703,BT549,0
CHEMBL17639,1546,Zanosar,29327,BT549,0
CHEMBL17639,1546,ADM hydrochloride,32874,BT549,0
CHEMBL17639,1546,paclitaxel,36314,BT549,0
CHEMBL17639,1546,Carboplatinum,38904,BT549,0
CHEMBL17639,1546,Co-V,40926,BT549,0
CHEMBL17639,1546,IMIQUIMOD,57469,BT549,0
CHEMBL17639,1546,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
CHEMBL17639,1546,Zoledronic acid,68740,BT549,0
CHEMBL17639,1546,Bendamustine hydrochloride,77082,BT549,0
CHEMBL17639,1546,7803-88-5,96312,BT549,0
CHEMBL17639,1546,Fulvestrant,104741,BT549,0
CHEMBL17639,1546,7-Ethyl-10-hydroxycamptothecin,104842,BT549,0
CHEMBL17639,1546,5-Aminolevulinic acid hydrochloride,123608,BT549,0
CHEMBL17639,1546,Pralatrexate,148121,BT549,0
CHEMBL17639,1546,docetaxel,148124,BT549,0
CHEMBL17639,1546,MITHRAMYCIN,163659,BT549,0
CHEMBL17639,1546,Erlotinib hydrochloride,176871,BT549,0
CHEMBL17639,1546,Lapatinib,208908,BT549,0
CHEMBL17639,1546,Sorafenib,216239,BT549,0
CHEMBL17639,1546,Vinblastine sulfate,241902,BT549,1
CHEMBL17639,1546,CHEMBL277800,354624,BT549,1
CHEMBL17639,1546,122111-05-1,356653,BT549,0
CHEMBL17639,1546,Bortezomib,387447,BT549,0
CHEMBL17639,1546,158798-73-3,400633,BT549,0
CHEMBL17639,1546,cis-Platin,441203,BT549,0
CHEMBL17639,1546,Retinoic acid,444795,BT549,0
CHEMBL17639,1546,NSC-127716,451668,BT549,1
CHEMBL17639,1546,Antibiotic AD 32,454216,BT549,0
CHEMBL17639,1546,Nilotinib,644241,BT549,0
CHEMBL17639,1546,6-Mercaptopurine,667490,BT549,0
CHEMBL17639,1546,Tamoxifen citrate,2733525,BT549,0
CHEMBL17639,1546,Dasatinib,3062316,BT549,0
CHEMBL17639,1546,Antibiotic AY 22989,5284616,BT549,0
CHEMBL17639,1546,Sunitinib,5329102,BT549,0
CHEMBL17639,1546,Romidepsin,5352062,BT549,0
CHEMBL17639,1546,bleomycin,5360373,BT549,0
CHEMBL17639,1546,NSC733504,6442177,BT549,0
CHEMBL17639,1546,Ixabepilone,6445540,BT549,0
CHEMBL17639,1546,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
CHEMBL17639,1546,Emcyt (Pharmacia),54611422,BT549,0
CHEMBL17639,1546,allopurinol,135401907,BT549,0
"Azacytidine, 5-",1805,amifostine,2141,BT549,0
"Azacytidine, 5-",1805,anastrozole,2187,BT549,1
"Azacytidine, 5-",1805,busulfan,2478,BT549,0
"Azacytidine, 5-",1805,carmustine,2578,BT549,0
"Azacytidine, 5-",1805,cyclophosphamide,2907,BT549,0
"Azacytidine, 5-",1805,hydroxyurea,3657,BT549,0
"Azacytidine, 5-",1805,NSC256439,3685,BT549,1
"Azacytidine, 5-",1805,ifosfamide,3690,BT549,0
"Azacytidine, 5-",1805,methoxsalen,4114,BT549,0
"Azacytidine, 5-",1805,mitotane,4211,BT549,0
"Azacytidine, 5-",1805,pipobroman,4842,BT549,0
"Azacytidine, 5-",1805,Vorinostat,5311,BT549,1
"Azacytidine, 5-",1805,thalidomide,5426,BT549,0
"Azacytidine, 5-",1805,mitomycin C,5746,BT549,1
"Azacytidine, 5-",1805,Triethylenemelamine,5799,BT549,1
"Azacytidine, 5-",1805,55-86-7,5935,BT549,1
"Azacytidine, 5-",1805,Quinacrine hydrochloride,6239,BT549,0
"Azacytidine, 5-",1805,Procarbazine hydrochloride,9703,BT549,0
"Azacytidine, 5-",1805,Zanosar,29327,BT549,0
"Azacytidine, 5-",1805,ADM hydrochloride,32874,BT549,0
"Azacytidine, 5-",1805,Co-V,40926,BT549,0
"Azacytidine, 5-",1805,IMIQUIMOD,57469,BT549,1
"Azacytidine, 5-",1805,TOPOTECAN HYDROCHLORIDE,60699,BT549,1
"Azacytidine, 5-",1805,Zoledronic acid,68740,BT549,0
"Azacytidine, 5-",1805,Bendamustine hydrochloride,77082,BT549,0
"Azacytidine, 5-",1805,Fulvestrant,104741,BT549,0
"Azacytidine, 5-",1805,5-Aminolevulinic acid hydrochloride,123608,BT549,0
"Azacytidine, 5-",1805,methotrexate,126941,BT549,0
"Azacytidine, 5-",1805,Pralatrexate,148121,HS578T,0
"Azacytidine, 5-",1805,MITHRAMYCIN,163659,BT549,0
"Azacytidine, 5-",1805,Erlotinib hydrochloride,176871,BT549,0
"Azacytidine, 5-",1805,Lapatinib,208908,BT549,0
"Azacytidine, 5-",1805,Sorafenib,216239,BT549,0
"Azacytidine, 5-",1805,Vinblastine sulfate,241902,BT549,0
"Azacytidine, 5-",1805,Bortezomib,387447,BT549,0
"Azacytidine, 5-",1805,cis-Platin,441203,BT549,0
"Azacytidine, 5-",1805,NSC-127716,451668,BT549,1
"Azacytidine, 5-",1805,Antibiotic AD 32,454216,BT549,0
"Azacytidine, 5-",1805,6-Mercaptopurine,667490,BT549,0
"Azacytidine, 5-",1805,Dasatinib,3062316,BT549,0
"Azacytidine, 5-",1805,Sunitinib,5329102,BT549,0
"Azacytidine, 5-",1805,bleomycin,5360373,BT549,1
"Azacytidine, 5-",1805,NSC733504,6442177,BT549,0
"Azacytidine, 5-",1805,Ixabepilone,6445540,BT549,0
"Azacytidine, 5-",1805,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,1
"Azacytidine, 5-",1805,Emcyt (Pharmacia),54611422,BT549,0
"Azacytidine, 5-",1805,allopurinol,135401907,BT549,0
altretamine,2123,CHEMBL17639,1546,BT549,0
altretamine,2123,"Azacytidine, 5-",1805,BT549,0
altretamine,2123,amifostine,2141,BT549,0
altretamine,2123,anastrozole,2187,BT549,0
altretamine,2123,busulfan,2478,BT549,0
altretamine,2123,carmustine,2578,BT549,0
altretamine,2123,celecoxib,2662,BT549,0
altretamine,2123,chlorambucil,2708,BT549,0
altretamine,2123,cyclophosphamide,2907,BT549,0
altretamine,2123,Fludarabine Base,3367,BT549,0
altretamine,2123,hydroxyurea,3657,BT549,0
altretamine,2123,NSC256439,3685,BT549,0
altretamine,2123,ifosfamide,3690,BT549,0
altretamine,2123,letrozole,3902,BT549,0
altretamine,2123,methoxsalen,4114,BT549,0
altretamine,2123,mitotane,4211,BT549,0
altretamine,2123,pipobroman,4842,BT549,0
altretamine,2123,Imatinib,5291,BT549,0
altretamine,2123,Vorinostat,5311,BT549,0
altretamine,2123,temozolomide,5394,BT549,0
altretamine,2123,thalidomide,5426,BT549,0
altretamine,2123,thiotepa,5453,BT549,0
altretamine,2123,mitomycin C,5746,BT549,0
altretamine,2123,5-Fluoro-2'-deoxyuridine,5790,BT549,0
altretamine,2123,55-86-7,5935,BT549,0
altretamine,2123,Quinacrine hydrochloride,6239,BT549,0
altretamine,2123,CYTARABINE HYDROCHLORIDE,6252,BT549,0
altretamine,2123,Procarbazine hydrochloride,9703,BT549,0
altretamine,2123,Zanosar,29327,BT549,0
altretamine,2123,ADM hydrochloride,32874,BT549,0
altretamine,2123,paclitaxel,36314,BT549,0
altretamine,2123,Carboplatinum,38904,BT549,0
altretamine,2123,Co-V,40926,BT549,0
altretamine,2123,IMIQUIMOD,57469,BT549,0
altretamine,2123,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
altretamine,2123,Zoledronic acid,68740,BT549,0
altretamine,2123,Bendamustine hydrochloride,77082,BT549,0
altretamine,2123,7803-88-5,96312,BT549,0
altretamine,2123,Fulvestrant,104741,BT549,0
altretamine,2123,7-Ethyl-10-hydroxycamptothecin,104842,BT549,0
altretamine,2123,5-Aminolevulinic acid hydrochloride,123608,BT549,0
altretamine,2123,methotrexate,126941,BT549,0
altretamine,2123,Pralatrexate,148121,BT549,0
altretamine,2123,docetaxel,148124,BT549,0
altretamine,2123,MITHRAMYCIN,163659,BT549,1
altretamine,2123,Erlotinib hydrochloride,176871,BT549,1
altretamine,2123,Lapatinib,208908,BT549,0
altretamine,2123,Sorafenib,216239,BT549,0
altretamine,2123,Vinblastine sulfate,241902,BT549,0
altretamine,2123,Vincristine sulfate,249332,BT549,0
altretamine,2123,CHEMBL277800,354624,BT549,0
altretamine,2123,122111-05-1,356653,BT549,0
altretamine,2123,Bortezomib,387447,BT549,0
altretamine,2123,158798-73-3,400633,BT549,0
altretamine,2123,cis-Platin,441203,BT549,0
altretamine,2123,Retinoic acid,444795,BT549,0
altretamine,2123,NSC-127716,451668,BT549,0
altretamine,2123,Antibiotic AD 32,454216,BT549,0
altretamine,2123,actinomycin D,457193,BT549,1
altretamine,2123,Nilotinib,644241,BT549,0
altretamine,2123,6-Mercaptopurine,667490,BT549,0
altretamine,2123,6-Thioguanine,2723601,BT549,0
altretamine,2123,Tamoxifen citrate,2733525,BT549,0
altretamine,2123,Dasatinib,3062316,BT549,0
altretamine,2123,Antibiotic AY 22989,5284616,BT549,0
altretamine,2123,Sunitinib,5329102,BT549,0
altretamine,2123,Romidepsin,5352062,BT549,0
altretamine,2123,bleomycin,5360373,BT549,0
altretamine,2123,NSC733504,6442177,BT549,0
altretamine,2123,Ixabepilone,6445540,BT549,0
altretamine,2123,Melphalan hydrochloride,9927978,BT549,0
altretamine,2123,Crizotinib,11626560,BT549,1
altretamine,2123,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
altretamine,2123,Vemurafenib,42611257,BT549,0
altretamine,2123,Emcyt (Pharmacia),54611422,BT549,0
altretamine,2123,allopurinol,135401907,BT549,1
amifostine,2141,NSC256439,3685,BT549,0
amifostine,2141,ADM hydrochloride,32874,BT549,0
amifostine,2141,Co-V,40926,BT549,0
amifostine,2141,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
amifostine,2141,Erlotinib hydrochloride,176871,BT549,0
amifostine,2141,Bortezomib,387447,BT549,0
amifostine,2141,cis-Platin,441203,BT549,0
amifostine,2141,Ixabepilone,6445540,BT549,0
amifostine,2141,Emcyt (Pharmacia),54611422,BT549,0
anastrozole,2187,"Azacytidine, 5-",1805,BT549,0
anastrozole,2187,amifostine,2141,BT549,0
anastrozole,2187,carmustine,2578,BT549,0
