pubchem_id1,g_id1,pubchem_id2,g_id2,cell,label
9863776,117,44462758,167,MDAMB468,0
2662,9,40926,49,BT549,0
2733525,97,2907,13,BT549,0
156422,71,25023738,158,MDAMB468,0
2733525,97,451668,88,BT549,0
163659,72,57469,50,BT549,0
5035,28,5935,37,BT549,0
56946894,182,3461,17,A549,0
216239,76,6239,39,BT549,0
126941,65,24197464,153,BT549,0
5352062,107,32874,45,BT549,0
457193,91,3685,19,BT549,1
11626560,138,38904,48,BT549,1
71384,58,400633,83,BT549,0
135398738,192,77082,59,BT549,0
4212,25,4211,24,BT549,0
25136944,161,104842,62,BT549,0
135398738,192,216239,76,BT549,0
2708,10,9703,42,BT549,0
9884685,118,57340686,183,MDAMB468,0
62770,54,2187,5,BT549,0
644241,92,5799,36,BT549,0
6252,40,3367,15,BT549,1
104741,61,451668,88,BT549,0
96312,60,1805,2,BT549,0
23725625,152,10127622,123,BT549,1
3950,22,5453,33,BT549,0
5311,30,451668,88,BT549,0
62770,54,3690,20,BT549,0
24776445,154,2733525,97,BT549,1
9703,42,60699,52,BT549,0
10127622,123,11656518,139,KPL1,0
123631,64,6442177,110,KPL1,1
454216,90,5311,30,BT549,1
10127622,123,11178236,128,KPL1,0
5453,33,5360373,108,BT549,0
2733525,97,667490,93,BT549,0
51039095,174,104741,61,KPL1,1
5352062,107,2478,7,BT549,0
71384,58,3690,20,BT549,0
10184653,125,25227436,162,BT549,0
667490,93,123608,63,BT549,1
24776445,154,42611257,164,BT549,1
6252,40,57469,50,BT549,0
126941,65,441203,85,BT549,0
2662,9,60699,52,BT549,0
123631,64,1546,0,BT549,1
68740,57,163659,72,BT549,0
452548,89,354624,80,BT549,0
71384,58,3385,16,BT549,1
25126798,160,6252,40,BT549,0
36462,47,356653,81,BT549,1
3367,15,5360373,108,BT549,1
9927978,120,6442177,110,BT549,0
11488320,132,387447,82,KPL1,0
11525740,135,6450551,112,BT549,0
16659841,144,11520894,134,KPL1,0
11626560,138,36314,46,BT549,0
