Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.5292714753981544	0.24572604785209537	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
1	0.5674479816154203	0.2697639407027171	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
2	0.5835923860761749	0.2790738422433641	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
4	0.5846367620337051	0.28471115838689814	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
5	0.6042906260020665	0.2975314437990676	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
6	0.6123071578722343	0.3135329127229457	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
7	0.6250356290305341	0.32637638607758723	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
9	0.63312341896177	0.3298199998725322	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
10	0.6391848077813803	0.34242465191953586	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
11	0.6529064381658175	0.3558640602631119	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
14	0.653454234510279	0.36979645523822524	0.7768014059753954	0.5	0.0	0.0	0.0	0.0	0.0
15	0.6585313713613852	0.38786474614679495	0.7829525483304042	0.5278084583318489	0.6296296296296297	0.06692913385826772	0.08160438081173094	0.06692913385826772	0.1209964412811388
18	0.6616088288737664	0.38341191727309293	0.7803163444639719	0.5513637011436919	0.5303030303030303	0.1377952755905512	0.1395267245759635	0.1377952755905512	0.21875
19	0.6630206292086792	0.3767228279131556	0.7759226713532513	0.5864137599315923	0.496	0.2440944881889764	0.21101570953937177	0.2440944881889764	0.32717678100263853
41	0.6707209534328571	0.3908495471477007	0.7785588752196837	0.5853048063562191	0.5084745762711864	0.23622047244094488	0.21083568157802046	0.23622047244094488	0.3225806451612903
101	0.6736069049061175	0.4137314188766166	0.781195079086116	0.6010305697081982	0.5185185185185185	0.2755905511811024	0.24255416971841903	0.2755905511811024	0.3598971722365038
107	0.680590194890797	0.42431181235767	0.7609841827768014	0.6230938468664268	0.4567307692307692	0.37401574803149606	0.263170924464165	0.37401574803149606	0.4112554112554113
130	0.688161363879289	0.42732488411060343	0.7653778558875219	0.5992669326967613	0.46060606060606063	0.2992125984251969	0.22685889639238477	0.2992125984251969	0.36276849642004777
194	0.6907244272633342	0.4304535153119131	0.7750439367311072	0.6153089036947305	0.49404761904761907	0.32677165354330706	0.26225904804351574	0.32677165354330706	0.39336492890995256
